INDEX,CARD_ID,牌名,正逆位,含義
36,18,月亮 ,正位,錯覺、直覺、不確定性、困惑、複雜性、秘密、無意識
37,18,月亮 ,逆位,恐懼、欺騙、焦慮、誤解、曲解、清晰、理解
38,19,太陽,正位,幸福、成功、樂觀、活力、喜悅、自信、真理
39,19,太陽,逆位,幸福受阻、過度熱情、悲觀、不切實際的期望、自負
40,20,審判,正位,自我評價、覺醒、更新、目的、反思、清算
41,20,審判,逆位,自我懷疑、缺乏自我意識、未能吸取教訓、自我厭惡
42,21,世界,正位,完成、成就、成就感、歸屬感、整體性、和諧
43,21,世界,逆位,缺乏封閉感、缺乏成就感、感覺不完整、空虛
44,22,權杖首牌,正位,靈感、創意火花、新建議、新激情、熱情、活力
45,22,權杖首牌,逆位,延遲、阻礙、缺乏激情、缺乏活力、猶豫、創意阻礙
46,23,權杖二,正位,計劃、第一步、做出決定、留下舒適感、承擔風險
47,23,權杖二,逆位,糟糕的計劃、過度分析、不採取行動、謹慎行事、規避風險
48,24,權杖三,正位,動力、信心、擴張、增長、遠見、展望
49,24,權杖三,逆位,限制、局限、缺乏進展、障礙、延誤、挫折
50,25,權杖四,正位,社區、家庭、慶典、聚會、穩定、歸屬感
51,25,權杖四,逆位,缺乏支持、不穩定、感覺不受歡迎、短暫、缺乏根源、家庭衝突缺
52,26,權杖五,正位,衝突、競爭、爭論、侵略、緊張、對手、自我衝突
53,26,權杖五,逆位,衝突結束、合作、協議、休戰、和諧、和平、避免衝突
54,27,權杖六,正位,成功、勝利、獎勵、認可、讚美、讚譽、驕傲
55,27,權杖六,逆位,失敗、缺乏認可、沒有獎勵、缺乏成就
56,28,權杖七,正位,保護自己、為自己挺身而出、保護領土
57,28,權杖七,逆位,放棄、認輸、讓步、缺乏自信、投降
58,29,權杖八,正位,運動、速度、進步、快速決定、突然變化、興奮
59,29,權杖八,逆位,等待、緩慢、混亂、延誤、失去動力、倉促、毫無準備
60,30,權杖九,正位,最後立場、堅持、毅力、韌性、接近成功、疲勞
61,30,權杖九,逆位,頑固、僵硬、防禦、拒絕妥協、放棄
62,31,權杖十,正位,負擔、責任、義務、壓力、義務、精疲力竭、鬥爭
63,31,權杖十,逆位,不下放、肩負太多責任、崩潰、崩潰
64,32,權杖侍從,正位,冒險、興奮、新鮮的想法、開朗、精力充沛、無所畏懼、外向
65,32,權杖侍從,逆位,倉促、不耐煩、缺乏想法、發脾氣、懶惰、無聊、不可靠、心煩意亂
66,33,權杖騎士,正位,勇敢、精力充沛、迷人、英雄、叛逆、脾氣暴躁、自由精神
67,33,權杖騎士,逆位,傲慢、魯莽、不耐煩、缺乏自製力、被動、易變、專橫
68,34,權杖皇后,正位,自信、熱情、堅定、社交、有魅力、活潑、樂觀
69,34,權杖皇后,逆位,苛求、報復心強、自信心不足、嫉妒、自私、喜怒無常、欺負人
70,35,權杖國王,正位,領導力、遠見、大局、掌控、大膽的決定、大膽、樂觀
71,35,權杖國王,逆位,強勢、霸道、暴君、惡毒、無能為力、無效、軟弱的領導者
72,36,聖杯首牌,正位,愛、新感覺、情感覺醒、創造力、靈性、直覺
73,36,聖杯首牌,逆位,冷漠、空虛、情緒失落、創造力受阻、感覺不被愛
74,37,聖杯二,正位,團結、夥伴關係、吸引力、聯繫、緊密聯繫、聯合力量、相互尊重
75,37,聖杯二,逆位,分離、拒絕、分裂、不平衡、緊張、溝通不良、退縮
76,38,聖杯三,正位,友誼、社區、聚會、慶祝活動、團體活動、社交活動
77,38,聖杯三,逆位,八卦、醜聞、過度、孤立、孤獨、孤獨、不平衡的社會生活
78,39,聖杯四,正位,冷漠、沉思、感覺與世隔絕、憂鬱、無聊、不滿
79,39,聖杯四,逆位,清晰、意識、接受、選擇幸福、抑鬱、消極
80,40,聖杯五,正位,失落、悲傷、失望、哀悼、不滿
81,40,聖杯五,逆位,接受、繼續前進、尋找平靜、滿足、看到積極的一面
82,41,聖杯六,正位,懷舊、回憶、熟悉、治愈、安慰、多愁善感、愉悅
83,41,聖杯六,逆位,被困在、前進、離家、獨立
84,42,聖杯七,正位,選擇、尋找目標、幻想、白日夢、一廂情願、優柔寡斷
85,42,聖杯七,逆位,缺乏目標、混亂、混亂、轉移、分心、清晰、做出選擇
86,43,聖杯八,正位,放棄、走開、放手、尋找真相、留下
87,43,聖杯八,逆位,停滯、單調、接受較少、迴避、害怕改變、處於糟糕的境地
88,44,聖杯九,正位,願望成真、滿足、成功、成就、認可、快樂
89,44,聖杯九,逆位,不快樂、缺乏滿足感、失望、成績不佳、傲慢、勢利
90,45,聖杯十,正位,幸福、回家、滿足、情緒穩定、安全、家庭和諧
91,45,聖杯十,逆位,不愉快的家、分離、家庭衝突、不和諧、孤立
92,46,聖杯侍從,正位,理想主義、敏感、夢想家、天真
93,46,聖杯侍從,逆位,情緒脆弱、不成熟、忽視內在小孩、逃避現實、不安全感
94,47,聖杯騎士,正位,理想主義者、迷人藝術的、優雅的、委婉的、外交的、調解人、談判者
95,47,聖杯騎士,逆位,失望、發脾氣、喜怒無常、混亂、避免衝突、虛榮
96,48,聖杯皇后,正位,同情、溫暖、善良、直覺、支持
97,48,聖杯皇后,逆位,不安全、給予太多、過於敏感、有需要的、脆弱、依賴
98,49,聖杯國王,正位,明智的、外交的、頭腦和心靈之間的平衡、忠誠的
99,49,聖杯國王,逆位,不知所措、焦慮、冷漠、壓抑、孤僻、控制欲強、自私
100,50,寶劍首牌,正位,清晰、突破、新想法、專注、遠見、力量、真理
101,50,寶劍首牌,逆位,混亂、溝通不暢、敵意、爭論、破壞、殘暴
102,51,寶劍二,正位,僵局、艱難抉擇、左右為難、否認、隱藏信息
103,51,寶劍二,逆位,優柔寡斷、猶豫、焦慮、沒有正確的選擇、真相大白
104,52,寶劍三,正位,心碎、分離、悲傷、不安、失落、創傷、眼淚
105,52,寶劍三,逆位,治愈、寬恕、恢復、和解、壓抑情緒
106,53,寶劍四,正位,休息、放鬆、和平、庇護、療養、自我保護、恢復活力
107,53,寶劍四,逆位,恢復、覺醒、重新進入世界、擺脫孤立、煩躁、倦怠
108,54,寶劍五,正位,爭論、糾紛、侵略、欺凌、恐嚇、衝突、敵意、壓力
109,54,寶劍五,逆位,和解、解決、妥協、報復、後悔、悔恨、減少損失
110,55,寶劍六,正位,繼續前進、離開、留下、距離、接受教訓
111,55,寶劍六,逆位,困在過去、重蹈覆轍、逃避問題、陷入困境
112,56,寶劍七,正位,謊言、詭計、策略、足智多謀、偷偷摸摸、狡猾
113,56,寶劍七,逆位,懺悔、良心、悔恨、惡意、真相
114,57,寶劍八,正位,被困、受限、受害、癱瘓、無助、無能為力、監禁
115,57,寶劍八,逆位,自由、釋放、控制、倖存者、恐懼、投降
116,58,寶劍九,正位,恐懼、焦慮、消極、崩潰、絕望、噩夢、孤立
117,58,寶劍九,逆位,康復、學習面對、尋求幫助、羞恥、內疚、心理問題
118,59,寶劍十,正位,毀滅、失敗、痛苦、崩潰、疲憊、死胡同、受害、背叛
119,59,寶劍十,逆位,生存、改善、治愈、經驗教訓、絕望、復發
120,60,寶劍侍從,正位,好奇、詼諧、健談、善於交際、有靈感、警惕、警覺、思維敏捷
121,60,寶劍侍從,逆位,散漫、憤世嫉俗、諷刺、八卦、侮辱、粗魯、缺乏計劃
122,61,寶劍騎士,正位,自信、直接、不耐煩、聰明、大膽、專注、完美主義者、雄心
123,61,寶劍騎士,逆位,粗魯、不圓滑、強硬、欺凌、好鬥、惡毒、無情、傲慢
124,62,寶劍皇后,正位,誠實、獨立、有原則、公平、建設性批評、客觀、有洞察力
125,62,寶劍皇后,逆位,悲觀的、惡意的、操縱性的、苛刻的、苦澀的、殘忍的、欺騙的、無情的
126,63,寶劍國王,正位,理性、權威、紀律、誠信、道德、嚴肅、高標準
127,63,寶劍國王,逆位,非理性的、獨裁者、壓迫性的、不人道的、控制性的、冷酷的、無情的、不誠實的
128,64,星幣首牌,正位,新機會、資源、豐富、繁榮、安全、穩定、表現
129,64,星幣首牌,逆位,錯失機會、稀缺、不足、不穩定、吝嗇、錯誤的投資
130,65,星幣二,正位,平衡資源、適應、足智多謀、靈活性、拉伸資源
131,65,星幣二,逆位,不平衡、無組織、不堪重負、凌亂、混亂、過度擴張
132,66,星幣三,正位,團隊合作、共同目標、協作、學徒、努力、集中精力
133,66,星幣三,逆位,缺乏凝聚力、缺乏團隊合作、冷漠、動力不足、衝突、自我、競爭
134,67,星幣四,正位,佔有欲、不安全感、吝嗇、穩定、安全、財富、節儉、界限
135,67,星幣四,逆位,慷慨、給予、消費、開放、財務不安全、魯莽消費
136,68,星幣五,正位,困難、損失、孤立、感覺被遺棄、逆境、鬥爭、失業、疏遠、恥辱
137,68,星幣五,逆位,積極的改變、從損失中恢復、克服逆境、寬恕、感到受歡迎
138,69,星幣六,正位,慷慨、慈善、社區、物質幫助、支持、分享、給予和接受、感恩
139,69,星幣六,逆位,權力動態、濫用慷慨、附帶禮物、不平等、敲詐勒索
140,70,星幣七,正位,收穫、獎勵、結果、成長、進步、毅力、耐心、計劃
141,70,星幣七,逆位,未完成的工作、拖延、低努力、浪費、缺乏成長、挫折、急躁
142,71,星幣八,正位,技能、才能、質量、高標準、專業知識、掌握、承諾、奉獻、成就
143,71,星幣八,逆位,缺乏素質、倉促工作、名聲不好、缺乏動力、平庸、懶惰、低技能
144,72,星幣九,正位,有回報的努力、成功、成就、獨立、休閒、物質保障、自給自足
145,72,星幣九,逆位,被守衛、物質不穩定、不計後果
146,73,星幣十,正位,遺產、根源、家庭、祖先、繼承、意外之財、特權、富裕、穩定、傳統
147,73,星幣十,逆位,家庭糾紛、破產、債務、轉瞬即逝的成功、金錢衝突、不穩定、打破傳統
148,74,星幣侍從,正位,雄心、勤奮、目標導向、計劃者、好學、腳踏實地、忠誠、忠實、可靠
149,74,星幣侍從,逆位,愚蠢的、不成熟的、懶惰的、成績不佳、拖延、錯失機會、糟糕前景
150,75,星幣騎士,正位,實用、可靠、高效、堅忍、緩慢而穩定、勤奮、忠誠、耐心、保守
151,75,星幣騎士,逆位,工作狂、懶惰、沉悶、無聊、不主動、廉價、不負責、賭徒、冒險投資
152,76,星幣皇后,正位,慷慨、關懷、培育、居家、商業意識、實用、舒適、熱情、明智、豪華
153,76,星幣皇后,逆位,自私、蓬頭垢面、嫉妒、缺乏安全感、貪婪、物質主義、淘金者、不寬容
154,77,星幣國王,正位,豐富、繁榮、安全、雄心、善良、重男輕女、保護性、感性、可靠
155,77,星幣國王,逆位,貪婪、物質、浪費、糟糕的財務決策、賭徒、佔有欲
